capture_timestamp,target_pos_x,target_pos_y,target_pos_z,target_orient_x,target_orient_y,target_orient_z,target_orient_w,kinematic_pos_x,kinematic_pos_y,kinematic_pos_z,kinematic_orient_x,kinematic_orient_y,kinematic_orient_z,kinematic_orient_w,ik_solver_delay_ms,e2e_latency_at_control_ms,e2e_latency_at_eval_ms,sync_delta_ms
1767822760.4210997,0.19630965119373875,0.04585180595955169,0.39700225217747376,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18887339726291763,0.0469550387511127,0.40666209730142117,0.009784940695116064,0.6724174923769245,0.008757401379403144,0.7400555916971384,2.624057,22.487309,23.187594,-44.37136650085449
1767822760.4210997,0.19630965119373875,0.04585180595955169,0.39700225217747376,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1889233163999999,0.04694484452500433,0.40675878682174277,0.009699870068869326,0.6723626535188397,0.008685469739408647,0.740107382269058,3.189304,56.381181000000005,56.758413,22.45163917541504
1767822760.5068657,0.19630296492501784,0.04567206340013176,0.3968634698516015,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1889233163999999,0.04694484452500433,0.40675878682174277,0.009699870068869326,0.6723626535188397,0.008685469739408647,0.740107382269058,2.3913710000000004,3.103894,3.605855,-63.31443786621094
1767822760.5068657,0.19630296492501784,0.04567206340013176,0.3968634698516015,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18885134717043484,0.04678376926114529,0.4066999610460387,0.009754604376337411,0.6723874895342058,0.008734656632394429,0.7400835205467445,3.075325,37.202468,37.767924,3.0744075775146484
1767822760.5577724,0.19633498528429702,0.04571288223953965,0.39687894724275335,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18885134717043484,0.04678376926114529,0.4066999610460387,0.009754604376337411,0.6723874895342058,0.008734656632394429,0.7400835205467445,2.718324,19.233084,19.871476,-47.83225059509277
1767822760.5768504,0.19629447095417915,0.04576863135301667,0.3968870770362106,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18888621658157598,0.04682251646302197,0.40671496247526695,0.009758674883134007,0.6723915572350976,0.008737751331468481,0.7400797347077916,2.691907,33.591232999999995,33.875567,0.12540817260742188
1767822760.6105213,0.19626734784588087,0.04580574965094136,0.39689341612787005,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18888621658157598,0.04682251646302197,0.40671496247526695,0.009758674883134007,0.6723915572350976,0.008737751331468481,0.7400797347077916,3.378062,33.83735,34.320996,-33.545494079589844
1767822760.64738,0.19619205037564202,0.045803529210622786,0.3968699151215815,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18884718914742035,0.04690448171788006,0.40668607248679406,0.009736628693892326,0.6723850397126333,0.008716912838498818,0.7400861921849939,3.450276,30.426716,30.904502,-3.089427947998047
1767822760.679174,0.19613825136721869,0.04580199863163289,0.39676933036876727,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18884718914742035,0.04690448171788006,0.40668607248679406,0.009736628693892326,0.6723850397126333,0.008716912838498818,0.7400861921849939,3.497749,31.964959,32.220925,-34.88326072692871
1767822760.7159746,0.19609922679738054,0.04580082781654487,0.3966411845301827,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.188701306659085,0.046899808403674186,0.4065669683227835,0.009757215693748905,0.6724023027670436,0.008733073472609485,0.7400700462815698,3.52886,28.525467,29.037002,-4.87971305847168
1767822760.7492478,0.1961263524629113,0.04580002400572757,0.39638132280699356,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.188701306659085,0.046899808403674186,0.4065669683227835,0.009757215693748905,0.6724023027670436,0.008733073472609485,0.7400700462815698,4.048801999999999,29.125763,29.742029,-38.15293312072754
1767822760.7856536,0.19617395712025726,0.04574378559346279,0.39616343309539875,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1885553597086872,0.04691502854298135,0.4063340393762531,0.009936968198877962,0.6725192178176419,0.008884539356343785,0.7399596092283599,4.068919,26.159467,26.798989,-7.319211959838867
1767822760.8153465,0.196208781604693,0.04570285438375601,0.39600458987488407,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1885553597086872,0.04691502854298135,0.4063340393762531,0.009936968198877962,0.6725192178176419,0.008884539356343785,0.7399596092283599,3.968378,29.626117,30.192226,-37.01210021972656
1767822760.8506396,0.19623429393472677,0.045616908395095815,0.3958320424836586,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18847797922538187,0.04684651668108932,0.4061549618645174,0.010134395629428559,0.6726385819247057,0.009053175091770036,0.7398463841584312,4.028795,27.722464,28.154776,-5.713939666748047
1767822760.8886006,0.1962249917592546,0.045441339878804526,0.39564879234271194,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18847797922538187,0.04684651668108932,0.4061549618645174,0.010134395629428559,0.6726385819247057,0.009053175091770036,0.7398463841584312,3.961759,23.122123000000002,23.512301,-43.67494583129883
1767822760.920167,0.19621814849142685,0.04522910640424826,0.3955157536721333,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1883383880871623,0.046621392681782184,0.4059879463243246,0.01029350767985276,0.6727247046542735,0.009191646463310995,0.7397641712618681,2.8999680000000003,23.687324,24.06861,-8.489370346069336
1767822760.954208,0.19626952809793038,0.04496063069006017,0.3953897692791496,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1883383880871623,0.046621392681782184,0.4059879463243246,0.01029350767985276,0.6727247046542735,0.009191646463310995,0.7397641712618681,3.943101,24.07856,24.589344,-42.53029823303223
1767822760.9898634,0.19630724668375749,0.044706795933514266,0.39529712549134116,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1882316982527888,0.04619108841397452,0.4059213791367841,0.010402186990578516,0.6727629338616316,0.009292021230859288,0.7397266303636421,3.953432,21.840242999999997,22.295026,-11.623859405517578
1767822761.0248408,0.1963064537660915,0.04443584726792671,0.3952295890080561,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1882316982527888,0.04619108841397452,0.4059213791367841,0.010402186990578516,0.6727629338616316,0.009292021230859288,0.7397266303636421,4.058877,20.24364,20.697044,-46.601295471191406
1767822761.0579534,0.1964196781732969,0.04415303096390472,0.3950954224694069,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18814835672759553,0.04571617021161167,0.4059183425613377,0.01045815825925375,0.6727644044583773,0.009348833211870631,0.7397237878675837,3.532476,19.925994,20.469502,-12.918949127197266
1767822761.0953784,0.19647440207974132,0.043857930908307065,0.3949672380501127,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18814835672759553,0.04571617021161167,0.4059183425613377,0.01045815825925375,0.6727644044583773,0.009348833211870631,0.7397237878675837,2.6651439999999997,14.954706999999999,15.5213,-50.343990325927734
1767822761.1282656,0.1965140024891077,0.04358769424651943,0.3948466887188597,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18812494316218648,0.04520612169596103,0.4059131615242573,0.010595257881807594,0.672809942807282,0.009476082795372485,0.7396787986855748,3.860583,16.556154,17.154907,-17.974853515625
1767822761.1651437,0.19657214242421844,0.04327229237162383,0.39467067124824895,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18812494316218648,0.04520612169596103,0.4059131615242573,0.010595257881807594,0.672809942807282,0.009476082795372485,0.7396787986855748,2.550512,11.690991,12.262867,-54.852962493896484
1767822761.196975,0.19658512338828454,0.042960143815159155,0.39451603882628733,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18803160871891397,0.04468835178231224,0.4058653452232703,0.010725250662862089,0.6728522941970813,0.00959675512085642,0.7396368443250333,2.529478,13.302741,13.906017,-20.176410675048828
1767822761.2316263,0.19659486418645875,0.04270118248562352,0.39431529622784756,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18803160871891397,0.04468835178231224,0.4058653452232703,0.010725250662862089,0.6728522941970813,0.00959675512085642,0.7396368443250333,2.4802470000000003,11.820589,12.22227,-54.82769012451172
1767822761.2649844,0.1965045709843339,0.042364837504070066,0.39393956037589384,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1878578591788705,0.04418486422988894,0.4057544571091209,0.010859787766495071,0.6729004872851052,0.009720108662024747,0.7395894257686038,2.50493,11.847821999999999,12.344774,-21.58069610595703
1767822761.3005416,0.19647879529087364,0.042126408309455556,0.39372501355813533,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.1878578591788705,0.04418486422988894,0.4057544571091209,0.010859787766495071,0.6729004872851052,0.009720108662024747,0.7395894257686038,2.4590929999999998,9.664629,10.015572,-57.13796615600586
1767822761.3354309,0.19645958682498016,0.04186615482850566,0.3935104179552434,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18748761628583924,0.04368393727921387,0.405455360153301,0.011061148743456711,0.6729946236169496,0.009898182733663224,0.7394984202482968,2.455534,7.9962860000000004,8.354808,-25.254487991333008
1767822761.3716025,0.19638752037804197,0.04164491779390392,0.39332292110411154,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18748761628583924,0.04368393727921387,0.405455360153301,0.011061148743456711,0.6729946236169496,0.009898182733663224,0.7394984202482968,2.4014650000000004,5.126327,5.425293,-61.42616271972656
1767822761.4047248,0.19624729186349213,0.04148785621854565,0.39318902694572067,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18721401377690813,0.04326145128845995,0.4052621626923197,0.011186699276211326,0.6730456009622655,0.010011117793286587,0.7394486150539302,2.476776,5.3836960000000005,6.180128,-28.0303955078125
1767822761.4387562,0.19605694158257622,0.04137290023371358,0.3930618258583172,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18721401377690813,0.04326145128845995,0.4052621626923197,0.011186699276211326,0.6730456009622655,0.010011117793286587,0.7394486150539302,2.436654,4.668782,4.985402,-62.06178665161133
1767822761.4720154,0.1959470602528787,0.04123307093694735,0.39297074005349497,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18682792760175318,0.043007392594443195,0.40502683437194176,0.011193254981487656,0.673043058264328,0.01001800596679256,0.739450736913264,2.613504,4.919752,5.49819,-28.627634048461914
1767822761.4720154,0.1959470602528787,0.04123307093694735,0.39297074005349497,-5e-324,0.6661866497533071,-5e-324,0.7457850546172566,0.18682792760175318,0.043007392594443195,0.40502683437194176,0.011193254981487656,0.673043058264328,0.01001800596679256,0.739450736913264,2.471785,38.228159,38.586854,-28.627634048461914
